# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
   26       1.337727539760e-10       1.760271161135e-15       2.273745096776e-13       3.126698531477e-17       2.081575037735e-10       2.102910882910e-11      -2.260473766886e-15       1.296296848747e-02      -1.530208253729e-08      -5.494390779563e-08      -1.227736262233e-10       1.586240238959e-09       3.294304081144e-03       6.711803062210e-09       3.408537317544e-10      -5.536812908622e-09       7.819322587785e-04      -3.179960380043e-08       7.922121968226e-10       3.351227875790e-04      -1.679344162714e-07       1.785583650553e-04       2.471428451944e-07       1.001388941803e-07       3.062660264468e-08       1.455834428941e-08       8.541316915632e-09 
   27       1.358093507401e-10       2.011848658365e-15       2.331124534726e-13       3.369858031087e-17       1.941041716638e-10       1.972557309861e-11       7.232618333702e-16       1.382872272713e-02       1.488685234476e-09       3.570834851983e-08      -1.411355276376e-09      -5.028905137049e-09       3.545661861390e-03       2.272991577069e-09       9.942825401990e-10      -8.823781798863e-09       8.429706967246e-04      -2.343099426595e-08       6.041047235999e-11       3.612921563526e-04      -1.628270818635e-07       1.924885417003e-04       2.448328713566e-07       1.012291468114e-07       3.125492048989e-08       1.489943774497e-08       8.754438560635e-09 
   28       1.378529212565e-10       2.290019591602e-15       2.394194517433e-13       3.622137127604e-17       1.813064511351e-10       1.852260349034e-11      -2.432999391890e-17       1.470589798868e-02       6.062494289739e-08       6.027435294126e-08      -2.877498813876e-09      -5.404649303327e-09       3.805070244457e-03      -4.887668013960e-09       1.346034798078e-09      -8.217703276874e-09       9.062856142420e-04      -1.892551447271e-08       5.994384180346e-10       3.884525162203e-04      -1.562487844967e-07       2.069500659839e-04       2.422082817278e-07       1.021943097955e-07       3.185106227180e-08       1.522810118714e-08       8.961100021013e-09 
   29       1.399133056341e-10       2.594274727578e-15       2.459966343948e-13       3.883537302996e-17       1.696990486429e-10       1.741605742976e-11      -3.699655219155e-15       1.559280369318e-02       9.548051489739e-08       2.671688491023e-08      -2.958437046229e-09       3.151627088383e-10       4.072313216873e-03      -1.252807112808e-08       1.378591014488e-09      -4.245383940752e-09       9.718640180122e-04      -1.823674686433e-08       1.980117155906e-09       4.166017857332e-04      -1.485342078227e-07       2.219423470645e-04       2.393204434299e-07       1.030433291146e-07       3.241608234092e-08       1.554512972726e-08       9.161692978142e-09 
   30       1.420049802774e-10       2.925801633928e-15       2.524040140313e-13       4.154063988693e-17       1.591573957971e-10       1.640769894551e-11      -9.077432724764e-15       1.648776090404e-02      -4.435747243207e-09      -2.621123226612e-09       5.790953763290e-10       9.551301470176e-09       4.347167082714e-03      -1.688648822104e-08       1.279624943079e-09       1.199904561899e-09       1.039690447361e-03      -1.883315701690e-08       3.050262768032e-09       4.457379375899e-04      -1.408760958392e-07       2.374643776640e-04       2.362050574487e-07       1.037812830350e-07       3.295303092997e-08       1.585097445804e-08       9.356363447860e-09 
   31       1.441320507745e-10       3.285168266501e-15       2.581202884934e-13       4.433726556452e-17       1.494665319533e-10       1.548996729437e-11      -1.472164724766e-14       1.738939317267e-02      -2.907713806587e-07       2.571744302773e-08       8.438317794348e-09       1.879484499462e-08       4.629400745696e-03      -1.422683943092e-08       1.248016935011e-09       6.054268404871e-09       1.109748155359e-03      -1.809784444144e-08       2.674809405352e-09       4.758587908577e-04      -1.344557270600e-07       2.535149927657e-04       2.328776965878e-07       1.044084873912e-07       3.346394350639e-08       1.614560513465e-08       9.544974829762e-09 
   32       1.462974793560e-10       3.670256782588e-15       2.627577905436e-13       4.722540677727e-17       1.405764667087e-10       1.465345939235e-11      -1.976959077584e-14       1.829740987023e-02      -4.524194360026e-07       5.944134241420e-08       1.258072698910e-08       2.356283784795e-08       4.918779901851e-03      -4.345563653345e-09       1.312211219498e-09       9.678974450813e-09       1.182021785871e-03      -1.596068989139e-08       9.630840777133e-10       5.069626731923e-04      -1.293382653968e-07       2.700935565393e-04       2.293796117836e-07       1.049323591655e-07       3.395042701564e-08       1.642957333397e-08       9.727769353294e-09 
   33       1.484945848342e-10       4.077455347847e-15       2.659168536736e-13       5.020527692763e-17       1.324243771430e-10       1.388032471104e-11      -2.341479481353e-14       1.921217208025e-02       4.414266317199e-09      -6.810794984627e-10       4.801176704520e-10       1.829339009620e-08       5.215065433174e-03       1.159112149278e-08       1.444576373413e-09       1.184628453987e-08       1.256495715661e-03      -1.325229882998e-08      -1.488740757190e-09       5.390480343005e-04      -1.251519185520e-07       2.871995307456e-04       2.257431012985e-07       1.053584751536e-07       3.441292804995e-08       1.670318528519e-08       9.904861466667e-09 
   34       1.507104669659e-10       4.503652726142e-15       2.672142377760e-13       5.327713984552e-17       1.248962252092e-10       1.314884461656e-11      -2.491704908073e-14       2.013346813819e-02       1.297898216619e-06      -2.082290071884e-07      -3.323836989684e-08       1.218015608412e-09       5.518013319904e-03       3.103503770417e-08       1.588595971093e-09       1.236703557682e-08       1.333152899750e-03      -1.083363201460e-08      -3.931217199495e-09       5.721128000440e-04      -1.213683020204e-07       3.048323604270e-04       2.219855676217e-07       1.056888680410e-07       3.485097724779e-08       1.696637683031e-08       1.007616268244e-08 
   35       1.529515530139e-10       4.951564832574e-15       2.665923246290e-13       5.644129126988e-17       1.179535200515e-10       1.245981245289e-11      -2.437605136191e-14       2.105683258576e-02       2.024493450047e-06      -3.306292034795e-07      -5.216771918225e-08      -8.494388979605e-09       5.827375904269e-03       4.701741091345e-08       1.593226354345e-09       1.122334455399e-08       1.411973165671e-03      -8.871115637178e-09      -5.569317578936e-09       6.061526516522e-04      -1.173359373963e-07       3.229916804803e-04       2.181411536678e-07       1.059295911376e-07       3.526529995286e-08       1.721954057404e-08       1.024188886812e-08 
   36       1.552253274977e-10       5.426341047369e-15       2.641207069663e-13       5.969807882076e-17       1.115406010741e-10       1.181852348335e-11      -2.223910256706e-14       2.197587058573e-02      -1.108723539912e-09       2.973648376509e-10       2.800580499116e-10       1.860403275189e-08       6.142902164555e-03       4.994399560317e-08       1.251845843961e-09       8.489709480864e-09       1.492934308045e-03      -7.312393936518e-09      -5.472210460837e-09       6.411621172719e-04      -1.122353371986e-07       3.416771948209e-04       2.142359494453e-07       1.060847106509e-07       3.565616694679e-08       1.746287034077e-08       1.040216479549e-08 
   37       1.575339211508e-10       5.933299336689e-15       2.599101576084e-13       6.304788693822e-17       1.055740470184e-10       1.122733632748e-11      -1.905737275595e-14       2.288656337277e-02      -6.140731473147e-06       1.016076634316e-06       1.593422800371e-07       1.003049347363e-07       6.464340040250e-03       3.171444556732e-08       4.085295876849e-10       4.411750776273e-09       1.576013007817e-03      -6.090215116048e-09      -2.925518582996e-09       6.771353841603e-04      -1.053845734643e-07       3.608882526343e-04       2.102844107997e-07       1.061558525029e-07       3.602332609490e-08       1.769631025450e-08       1.055697989360e-08 
   38       1.598779057684e-10       6.474697300697e-15       2.540840063679e-13       6.649105298015e-17       1.000384787596e-10       1.068506411157e-11      -1.530822873995e-14       2.379894732146e-02      -1.253588380832e-05       2.076904177471e-06       3.249714489494e-07       1.815508260498e-07       6.791443325267e-03      -2.448334385469e-09      -7.274145774710e-10      -2.216195180182e-10       1.661186516312e-03      -5.175804812465e-09       1.224316044316e-09       7.140676278057e-04      -9.736401527218e-08       3.806225485257e-04       2.063133684806e-07       1.061494861146e-07       3.636817988500e-08       1.792034374637e-08       1.070661423138e-08 
   39       1.622525231678e-10       7.051939013244e-15       2.468028323374e-13       7.002792873102e-17       9.491636865355e-11       1.018683466253e-11      -1.152923822791e-14       2.472949951433e-02      -1.298309142638e-05       2.152209943875e-06       3.363416493899e-07       1.744310089702e-07       7.123968337799e-03      -4.181170116788e-08      -1.787963545941e-09      -4.308372961031e-09       1.748431538686e-03      -4.540260099079e-09       5.452255535050e-09       7.519541105378e-04      -8.927139473038e-08       4.008769732783e-04       2.023428127117e-07       1.060712603620e-07       3.669213841382e-08       1.813538034241e-08       1.085130615121e-08 
   40       1.646457850980e-10       7.666437658740e-15       2.382759719543e-13       7.365890595230e-17       9.015889797385e-11       9.723834713272e-12      -8.375100287017e-15       2.569829434948e-02      -1.091408607187e-08       7.089542436251e-10      -2.440270337400e-10      -2.684521897728e-08       7.461673118277e-03      -7.308935310652e-08      -2.324046448255e-09      -6.514587741351e-09       1.837723809927e-03      -4.138688852769e-09       7.886282224867e-09       7.907898317142e-04      -8.243921919355e-08       4.216479327933e-04       1.983773666340e-07       1.059235413669e-07       3.699591813721e-08       1.834148920257e-08       1.099110743264e-08 
   41       1.670440212642e-10       8.319367995893e-15       2.287019004889e-13       7.738437780575e-17       8.570297439738e-11       9.286100189586e-12      -6.452918673218e-15       2.671513847638e-02       2.997676295898e-05      -4.975648855355e-06      -7.779757854472e-07      -4.708935283524e-07       7.804317166482e-03      -8.409070691707e-08      -1.970492582234e-09      -5.648512691098e-09       1.929038111808e-03      -3.908475619806e-09       6.874512093005e-09       8.305694174977e-04      -7.803856169660e-08       4.429318869548e-04       1.944174047775e-07       1.057069740853e-07       3.727978476298e-08       1.853856332330e-08       1.112596821433e-08 
   42       1.694523552928e-10       9.010830719295e-15       2.180588623491e-13       8.120460225025e-17       8.153550937183e-11       8.872765600955e-12      -5.746090852823e-15       2.773203013797e-02       5.907478858281e-05      -9.805179967942e-06      -1.532456456250e-06      -8.920397123052e-07       8.151658582674e-03      -7.649128481096e-08      -1.017589746967e-09      -1.963470442106e-09       2.022348279638e-03      -3.766363066593e-09       2.961259346082e-09       8.712867357649e-04      -7.570083316561e-08       4.647272313561e-04       1.905007035744e-07       1.054267418618e-07       3.754459962907e-08       1.872698031795e-08       1.125608293794e-08 
   43       1.718797322781e-10       9.740413349301e-15       2.062511058716e-13       8.511979821579e-17       7.764547048760e-11       8.484600777780e-12      -6.015084835887e-15       2.867558577522e-02       5.989254758129e-05      -9.941516768704e-06      -1.553297422192e-06      -8.855305387173e-07       8.503457373219e-03      -5.694402652271e-08      -1.709105182048e-11       3.744893882425e-09       2.117627233231e-03      -3.608345984596e-09      -2.482644541533e-09       9.129351637263e-04      -7.447149002976e-08       4.870329902211e-04       1.866715894010e-07       1.050876700278e-07       3.779095809713e-08       1.890708400577e-08       1.138161645990e-08 
   44       1.743329988421e-10       1.050739448854e-14       1.931643068991e-13       8.913018233296e-17       7.400459290313e-11       8.121070913628e-12      -6.948746807814e-15       2.945904528054e-02       1.094622193042e-10      -1.834419203861e-09       5.834686577331e-10       2.765901350557e-08       8.859477181976e-03      -3.372170952209e-08       3.652040361345e-10       1.047810292212e-08       2.214847001699e-03      -3.308847049394e-09      -7.775124085646e-09       9.555076888623e-04      -7.316823224032e-08       5.098483236556e-04       1.829686016768e-07       1.046921784120e-07       3.801881519101e-08       1.907896713262e-08       1.150258845065e-08 
   45       1.768166292666e-10       1.131101625730e-14       1.786708900910e-13       9.323593167439e-17       7.057748239416e-11       7.780736635330e-12      -8.208257279267e-15       3.003109565166e-02      -1.398782471363e-04       2.321349464177e-05       3.629065761764e-06       2.129749465977e-06       9.219488251339e-03      -1.486740995313e-08      -4.039146763403e-10       1.711835403436e-08       2.313978869914e-03      -2.761278146807e-09      -1.131101508552e-08       9.989970513258e-04      -7.066677300397e-08       5.331721714544e-04       1.794122047049e-07       1.042415513261e-07       3.822787990759e-08       1.924260616525e-08       1.161895365903e-08 
   46       1.793324239571e-10       1.215144237174e-14       1.626510258459e-13       9.743705972957e-17       6.735875951012e-11       7.462862384016e-12      -9.585488959593e-15       3.054148720067e-02      -3.041435916255e-04       5.047689450270e-05       7.889949018904e-06       4.586663683947e-06       9.583275597419e-03      -1.754216902328e-09      -1.881710004525e-09       2.273828880755e-08       2.414993820715e-03      -2.017145119025e-09      -1.290866449459e-08       1.043396229416e-03      -6.689272212141e-08       5.570020196991e-04       1.759653560473e-07       1.037408278178e-07       3.841910284662e-08       1.939838208140e-08       1.173091051379e-08 
